name,format,overs,runs_conceded,wickets,matches
Josh Hazlewood,IPL,320,3044,109,88
Jaydev Unadkat,IPL,80,879,28,24
Vaibhav Suryavanshi,IPL,0,0,0,176
Yashasvi Jaiswal,IPL,0,0,0,140
Sai Sudharsan,IPL,0,0,0,175
Yashvardhan Dalal,IPL,0,0,0,132
Nitish Rana,IPL,83,902,13,92
Riyan Parag,IPL,180,1787,30,149
Will Jacks,IPL,382,3405,82,123
Yuzvendra Chahal,IPL,63,636,16,18
Ottneil Baartman,IPL,48,493,17,15
Lockie Ferguson,IPL,95,889,26,30
Harpreet Brar,IPL,333,3064,134,101
Sandeep Sharma,IPL,14,166,1,4
Rohit Sharma,IPL,13,166,1,124
Manish Pandey,IPL,0,0,0,50
Jos Buttler,IPL,0,0,0,86
Kunal Chandela,IPL,0,0,0,71
Ramandeep Singh,IPL,21,254,3,69
Ravindra Jadeja,IPL,324,3128,91,120
Sam Hain,IPL,0,0,0,68
Scott Curie,IPL,174,1540,83,57
CV Stephen,IPL,305,2698,93,93
Bhuvneshwar Kumar,IPL,400,3549,136,118
Ravi Teja,IPL,49,438,15,16
Finn Allen,IPL,0,0,0,96
Josh Inglis,IPL,0,0,0,12
Rajat Patidar,IPL,17,191,6,174
Rishabh Pant,IPL,0,0,0,168
Devdutt Padikkal,IPL,0,0,0,70
Rachin Ravindra,IPL,132,1177,57,45
Anukul Roy,IPL,196,2010,47,78
Marco Jansen,IPL,8,133,2,2
Arzan Nagwaswalla,IPL,861,8181,311,235
Varun Chakravarthy,IPL,450,4048,167,123
Prasidh Krishna,IPL,62,670,21,19
Mitchell Santner,IPL,11,109,1,3
Akash Vasisht,IPL,207,1898,61,72
Tharindu Rathnanayake,IPL,93,794,18,27
Prithvi Shaw,IPL,0,0,0,43
Rovman Powell,IPL,2,18,0,3
Sikandar Raza,IPL,59,594,12,28
Umran Malik,IPL,42,384,12,26
Heinrich Klaasen,IPL,0,0,0,151
Mohsin Khan,IPL,77,665,18,22
Aiden Markram,IPL,66,733,13,29
Tanay Thyagarajan,IPL,174,1667,65,59
Jason Holder,IPL,225,2310,46,72
Sakib Hussain,IPL,149,1533,34,42
Praveen Jayawickrama,IPL,445,4036,166,125
Travis Head,IPL,26,223,6,16
Harshit Rana,IPL,55,626,9,16
Dushmantha Chameera,IPL,31,273,14,9
Tim David,IPL,0,0,0,22
Pat Cummins,IPL,256,2462,79,74
Angkrish Raghuvanshi,IPL,0,0,0,8
Liam Livingstone,IPL,87,822,22,37
Ravi Bishnoi,IPL,271,2623,73,76
Sameer Rizvi,IPL,0,0,0,15
Yash Thakur,IPL,37,321,9,10
Khaleel Ahmed,IPL,149,1483,32,41
Noor Ahmad,IPL,165,1412,50,52
Kamindu Mendis,IPL,109,1114,20,45
Avesh Khan,IPL,59,558,19,16
Mukesh Kumar,IPL,6,63,0,2
Himmat Singh,IPL,0,0,0,40
Cooper Connolly,IPL,46,458,10,18
Nicholas Pooran,IPL,0,0,0,28
Rohan Kunnummal,IPL,0,0,0,30
Nathan Ellis,IPL,282,2624,109,97
Nick Kelly,IPL,0,0,0,10
Amila Aponso,IPL,189,1805,47,51
Avinov Choudhary,IPL,91,905,20,26
Priyansh Arya,IPL,1,8,0,62
Sherfane Rutherford,IPL,2,21,3,20
Xavier Bartlett,IPL,4,33,1,1
Naman Dhir,IPL,24,257,5,22
Shreyas Gopal,IPL,2,22,0,1
Jofra Archer,IPL,66,718,16,20
Luhan dre pretorious,IPL,0,0,0,65
Aman Rao,IPL,0,0,0,13
Deepak Chahar,IPL,85,838,22,31
Yuvraj Chaudhary,IPL,52,526,16,33
Mayank Yadav,IPL,109,1125,25,36
Harshal Patel,IPL,118,1191,31,36
MS Dhoni,IPL,0,0,0,1
Lungi Ngidi,IPL,266,2364,66,73
Mitchell Owen,IPL,10,104,2,6
Prabhsimran Singh,IPL,0,0,0,83
Adil Rashid,IPL,65,592,25,17
Matt Henry,IPL,61,514,24,17
Jacob Bethell,IPL,27,267,10,94
Jamie Overton,IPL,80,771,15,27
Ajay Mandal,IPL,5,71,1,2
Rahul Chahar,IPL,37,377,7,11
Akash Deep,IPL,18,165,2,6
Ankit Kumar,IPL,1,25,0,62
Vignesh Puthur,IPL,20,209,6,5
Allah Ghazanfar,IPL,108,1013,47,31
Ashok Sharma,IPL,656,5873,222,185
Ashutosh Sharma,IPL,0,0,0,33
Akeal Hosein,IPL,470,4304,132,138
Corbin Bosch,IPL,56,612,18,24
Ravi Singh,IPL,0,0,0,7
Mukhtar Hussain,IPL,127,1228,30,39
Vishnu Vinod,IPL,0,0,0,7
Auqib Nabi,IPL,3,38,0,1
Rasikh Dar,IPL,139,1363,39,40
Manisankar Murasingh,IPL,179,1764,22,66
Marcus Stoinis,IPL,51,549,9,28
Chama Milind,IPL,11,95,3,3
Anshul Kamboj,IPL,94,937,12,33
Harnoor Singh,IPL,0,0,0,21
KM Asif,IPL,113,1043,33,33
Harsh Dubey,IPL,237,2285,71,89
Jacob Duffy,IPL,122,1189,30,38
Delano Potgieter,IPL,30,420,2,20
Atit Sheth,IPL,215,2160,43,69
Sahan Arachchige,IPL,606,5516,181,168
Dushan Hemantha,IPL,456,4426,145,129
Gurinder Singh,IPL,629,5331,238,180
Darshan Nalkande,IPL,26,262,8,8
James Rew,IPL,0,0,0,84
Donovan Ferreira,IPL,45,428,7,14
Wanindu Hasaranga,IPL,315,2690,115,95
Malinda Pushpakumara,IPL,502,4430,246,152
Quinton de Kock,IPL,0,0,0,59
Nitish Kumar Reddy,IPL,178,1873,42,71
Deepak Hooda,IPL,11,97,1,29
Dinuka Dilshan,IPL,39,479,8,12
Brad Evans,IPL,35,340,9,11
KS Bharat,IPL,0,0,0,10
Prabath Jayasuriya,IPL,258,2253,78,72
Suryansh Shedge,T20,6,99,1,2
Mridul Surroch,IPL,235,2303,70,80
Nishan Peiris,IPL,129,1203,49,40
Bevon Jacobs,IPL,0,0,0,57
Sairaj Patil,IPL,198,1864,36,79
Harry Brook,IPL,0,0,0,77
Ruchit Ahir,IPL,0,0,0,107
Sanvir Singh,IPL,68,663,11,39
Shivam Shukla,IPL,38,372,9,12
Chetan Sakariya,IPL,90,881,31,28
Suryansh Shedge,IPL,41,462,4,69
Sanvir Singh,T20,12,138,4,5
