name,format,runs,balls,matches,innings
Glenton Stuurman,IPL,37,41,58,6
Raj Angad Bawa,IPL,327,219,67,27
Samant Jakhar,IPL,63,50,11,7
Shubham Agarwal,IPL,177,185,55,15
Sonny Baker,IPL,3,15,47,7
Theesan Vithushan,IPL,12,16,46,4
Mayank Agarwal,IPL,51,40,5,5
Aaron Hardie,IPL,253,194,13,10
Karan Shinde,IPL,782,503,45,20
Sayan Ghosh,IPL,36,30,9,4
Gangam Anikethreddy,IPL,37,40,31,6
Senitha Halambage,IPL,0,1,5,1
Jonny Bairstow,IPL,312,245,13,12
Josh Philippe,IPL,594,360,22,21
Samant Jakhar,T20,213,155,17,17
Shubham Agarwal,T20,70,71,11,7
Sonny Baker,T20,7,26,10,7
Theesan Vithushan,T20,10,32,13,10
CJ Bowes,T20,279,191,9,4
Chris Lynn,T20,254,131,11,3
Brad Evans,T20,16,23,9,5
Ajay Dev Goud,T20,15,18,9,4
Rahmanullah Gurbaz,IPL,86,68,9,7
Vaisakh Chandran,IPL,78,75,35,10
Aneurin Donald,T20,630,310,11,4
Seekkuge Prasanna,T20,0,3,6,2
Steve Smith,T20,29,18,3,3
Ashwin Das,IPL,129,99,19,9
CJ Bowes,IPL,449,327,11,8
Chris Lynn,IPL,1230,781,43,30
Ajay Dev Goud,IPL,52,53,23,8
Luke Wood,IPL,35,39,12,4
Ashwin Das,T20,26,28,4,3
Nishan Peiris,T20,0,0,1,0
Shimron Hetmyer,IPL,49,39,1,1
Joel Davies,T20,27,17,2,2
Matthew Forde,IPL,58,50,21,7
Vidwath Kaverappa,IPL,5,8,16,1
Christopher Britz,IPL,759,455,24,22
Ismat Alam,IPL,101,84,19,7
Jai Moondra,IPL,23,18,15,0
Athisayaraj Davidson,IPL,0,0,3,0
Ashish Singh,IPL,8,8,7,1
Lasith Embuldeniya,IPL,34,26,15,2
Isitha Wijesundara,IPL,1,6,8,3
Duvindu Tillakaratne,IPL,55,47,6,2
Raj Limbani,IPL,1,2,5,1
Kusal Mendis,IPL,666,477,22,19
Bipin Saurabh,IPL,98,75,6,4
Tripuresh Singh,IPL,14,16,18,3
Sonu Yadav,IPL,18,15,4,3
Lance Morris,IPL,0,0,8,0
Yash Dhull,IPL,380,287,8,8
Ashton Turner,IPL,117,76,8,5
Beau Webster,IPL,80,71,5,5
Craig Overton,IPL,42,43,12,5
Sonal Dinusha,IPL,31,26,9,2
Mohamed Shiraz,IPL,0,0,7,0
Nimesh Vimukthi,IPL,13,6,6,1
Maheesh Theekshana,IPL,2,2,4,0
Abhimanyu Easwaran,IPL,558,321,15,10
Dega Nischal,IPL,42,33,4,2
Dasun Shanaka,IPL,146,90,16,5
Duan Jansen,IPL,17,23,6,4
Vasuki Koushik,IPL,16,14,4,1
