batter,bowler,balls,runs,wickets,dots,fours,sixes,dot_pct,strike_rate,average
Angkrish Raghuvanshi,Anrich Nortje,1,0,1,1,0,0,100.0,0.0,0.0
Angkrish Raghuvanshi,Anukul Roy,10,6,1,5,0,0,50.0,60.0,6.0
Angkrish Raghuvanshi,Ashok Sharma,4,11,0,0,2,0,0.0,275.0,11.0
Angkrish Raghuvanshi,Auqib Nabi,4,9,0,1,2,0,25.0,225.0,9.0
Angkrish Raghuvanshi,Avesh Khan,14,18,0,7,3,0,50.0,128.57,18.0
Angkrish Raghuvanshi,Cameron Green,1,0,0,1,0,0,100.0,0.0,0.0
Angkrish Raghuvanshi,Corbin Bosch,13,9,2,9,0,1,69.23,69.23,4.5
Angkrish Raghuvanshi,Glenton Stuurman,3,2,1,1,0,0,33.33,66.67,2.0
Angkrish Raghuvanshi,Harsh Dubey,15,19,0,7,3,0,46.67,126.67,19.0
Angkrish Raghuvanshi,Jamie Overton,8,3,0,5,0,0,62.5,37.5,3.0
Angkrish Raghuvanshi,Kartik Tyagi,3,1,0,2,0,0,66.67,33.33,1.0
Angkrish Raghuvanshi,Kuldeep Yadav,8,12,2,4,1,1,50.0,150.0,6.0
Angkrish Raghuvanshi,Mayank Markande,2,0,1,2,0,0,100.0,0.0,0.0
Angkrish Raghuvanshi,Pat Cummins,4,5,0,2,1,0,50.0,125.0,5.0
Angkrish Raghuvanshi,Prashant Solanki,19,14,1,14,1,1,73.68,73.68,14.0
Angkrish Raghuvanshi,Prashant Veer,9,9,0,3,0,0,33.33,100.0,9.0
Angkrish Raghuvanshi,Prince Yadav,8,10,0,5,0,1,62.5,125.0,10.0
Angkrish Raghuvanshi,Ravi Bishnoi,5,4,0,4,1,0,80.0,80.0,4.0
Angkrish Raghuvanshi,Shahbaz Ahmed,3,3,0,0,0,0,0.0,100.0,3.0
Angkrish Raghuvanshi,Shardul Thakur,1,0,0,1,0,0,100.0,0.0,0.0
Angkrish Raghuvanshi,Shiran Fernando,2,2,0,0,0,0,0.0,100.0,2.0
Angkrish Raghuvanshi,Sonny Baker,5,10,0,3,1,1,60.0,200.0,10.0
Angkrish Raghuvanshi,T Natarajan,2,1,1,1,0,0,50.0,50.0,1.0
Angkrish Raghuvanshi,Vaibhav Arora,12,18,0,4,1,1,33.33,150.0,18.0
Angkrish Raghuvanshi,Varun Chakravarthy,20,13,1,12,0,1,60.0,65.0,13.0
Angkrish Raghuvanshi,Washington Sundar,8,23,1,2,2,2,25.0,287.5,23.0
Aniket Verma,Akeal Hosein,2,0,1,2,0,0,100.0,0.0,0.0
Aniket Verma,Mohammed Shami,2,1,0,1,0,0,50.0,50.0,1.0
Aniket Verma,Yuzvendra Chahal,3,6,0,2,0,1,66.67,200.0,6.0
Ankit Kumar,Abhishek Sharma,4,10,0,0,2,0,0.0,250.0,10.0
Ankit Kumar,Adam Zampa,20,33,3,6,2,2,30.0,165.0,11.0
Ankit Kumar,Aiden Markram,2,2,0,0,0,0,0.0,100.0,2.0
Ankit Kumar,Ajay Dev Goud,9,12,0,2,1,0,22.22,133.33,12.0
Ankit Kumar,Akash Deep,10,15,0,0,1,0,0.0,150.0,15.0
Ankit Kumar,Akash Vasisht,6,8,0,1,1,0,16.67,133.33,8.0
Ankit Kumar,Akeal Hosein,12,14,1,6,2,0,50.0,116.67,14.0
Ankit Kumar,Allah Ghazanfar,20,22,0,10,0,2,50.0,110.0,22.0
Ankit Kumar,Anukul Roy,2,1,1,1,0,0,50.0,50.0,1.0
Ankit Kumar,Arpit Vasavada,12,9,1,4,0,0,33.33,75.0,9.0
Ankit Kumar,Arshdeep Singh,23,29,0,3,1,0,13.04,126.09,29.0
Ankit Kumar,Ashok Sharma,30,38,3,10,0,2,33.33,126.67,12.67
Ankit Kumar,Ashwin Das,25,31,1,3,0,0,12.0,124.0,31.0
Ankit Kumar,Atit Sheth,2,2,0,0,0,0,0.0,100.0,2.0
Ankit Kumar,Avinov Choudhary,23,29,0,3,2,0,13.04,126.09,29.0
Ankit Kumar,Axar Patel,9,15,1,1,0,1,11.11,166.67,15.0
Ankit Kumar,Bhuvneshwar Kumar,40,69,1,8,4,2,20.0,172.5,69.0
Ankit Kumar,Binura Fernando,12,28,1,2,1,3,16.67,233.33,28.0
